Modality,Source,Iteration,Top 1,Top 3,Top 5,Top 10,Tani@1,Tani@3,Tani@5,Tani@10
C&H,evaluation_USPTO-NMR_1000_10_5_rmse_631_mol2nmr_0,0,0.785,0.901,0.926,0.93,0.9431,0.9653,0.9698,0.9717
C&H,evaluation_USPTO-NMR_1000_10_5_rmse_631_mol2nmr_1,1,0.801,0.917,0.925,0.932,0.9535,0.9677,0.97,0.9717
C&H,evaluation_USPTO-NMR_1000_10_5_rmse_631_mol2nmr_2,2,0.802,0.919,0.928,0.931,0.952,0.968,0.9704,0.9715
C&H,evaluation_USPTO-NMR_1000_10_5_rmse_631_mol2nmr_3,3,0.812,0.915,0.929,0.932,0.9549,0.9676,0.9704,0.9717
C&H,evaluation_USPTO-NMR_1000_10_5_rmse_631_mol2nmr_4,4,0.808,0.911,0.927,0.932,0.9546,0.9683,0.9701,0.9717
C&H,evaluation_USPTO-NMR_1000_10_5_rmse_631_mol2nmr_nmrshiftdb,nmrshiftdb,0.689,0.872,0.906,0.929,0.9041,0.9589,0.9647,0.9705
C&H,nmr2mol,-,0.726,0.846,0.87,0.894,0.8987,0.9387,0.948,0.9549
C,evaluation_USPTO-NMR_1000_10_5_rmse_82_mol2nmr_0,0,0.628,0.749,0.782,0.805,0.8374,0.877,0.8901,0.8998
C,evaluation_USPTO-NMR_1000_10_5_rmse_82_mol2nmr_1,1,0.659,0.769,0.794,0.812,0.8603,0.8871,0.8941,0.9014
C,evaluation_USPTO-NMR_1000_10_5_rmse_82_mol2nmr_2,2,0.674,0.783,0.799,0.814,0.8675,0.8919,0.8965,0.9021
C,evaluation_USPTO-NMR_1000_10_5_rmse_82_mol2nmr_3,3,0.677,0.779,0.799,0.814,0.868,0.8906,0.8967,0.9015
C,evaluation_USPTO-NMR_1000_10_5_rmse_82_mol2nmr_4,4,0.675,0.78,0.797,0.808,0.867,0.8907,0.8959,0.9012
C,evaluation_USPTO-NMR_1000_10_5_rmse_82_mol2nmr_nmrshiftdb,nmrshiftdb,0.53,0.705,0.756,0.796,0.7842,0.8583,0.8814,0.8968
C,nmr2mol,-,0.471,0.616,0.656,0.717,0.7383,0.8178,0.8394,0.8649
H,evaluation_USPTO-NMR_1000_10_5_rmse_64_mol2nmr_0,0,0.618,0.784,0.833,0.872,0.833,0.9079,0.9263,0.9417
H,evaluation_USPTO-NMR_1000_10_5_rmse_64_mol2nmr_1,1,0.643,0.8,0.842,0.875,0.8491,0.9166,0.9311,0.9436
H,evaluation_USPTO-NMR_1000_10_5_rmse_64_mol2nmr_2,2,0.653,0.797,0.84,0.874,0.8525,0.9144,0.9285,0.9442
H,evaluation_USPTO-NMR_1000_10_5_rmse_64_mol2nmr_3,3,0.663,0.812,0.847,0.877,0.8609,0.9185,0.9318,0.9444
H,evaluation_USPTO-NMR_1000_10_5_rmse_64_mol2nmr_4,4,0.663,0.804,0.839,0.876,0.8584,0.9168,0.9301,0.9439
H,evaluation_USPTO-NMR_1000_10_5_rmse_64_mol2nmr_nmrshiftdb,nmrshiftdb,0.548,0.742,0.796,0.849,0.7875,0.8861,0.9116,0.9349
H,nmr2mol,-,0.608,0.745,0.779,0.812,0.8265,0.8826,0.8986,0.9172
